id,Name_City
5010,Nathdwara
1200133,Naukluchiatal
4341,Navi Mumbai
2842,Navsari
2449,Nawada
1200085,Nawadih
5012,Nawalgarh
4826,Nawanshahr
4669,Nayagarh
1201056,Neemrana
3998,Neemuch
2121,Nellore
1200051,Ner Chowk
1200196,New Chandigarh
2624,New Delhi
1202044,New Tehri
5516,Nilgiris
2123,Nirmal
2124,Nizamabad
1200065,Nizampur
6403,Noida
1200039,Okkiyam Thuraipakkam
1200054,Oonamalai
7059,Ooty
4007,Orchha
4348,Osmanabad
1200048,Pachad
1200082,Pahanda
4353,Paithan
3274,Pakaur
3678,Palakkad
3063,Palampur
1200167,Palana
5553,Palani
2847,Palanpur
2131,Palasa
4354,Palghar
5020,Pali
4355,Pali Maharashtra
2988,Palwal
4356,Panchgani
2989,Panchkula
1200094,Pandalam
3502,Pandavapura
2990,Panipat
4019,Panna
1200025,Panoli
1200132,Paota
1200205,Paradeep
1200166,Paravathur
4362,Parbhani
1200089,Pargaon
1200091,Paruvamedu
3065,Parwanoo
2853,Patan
1200190,Patdi
3689,Pathanamthitta
4829,Pathankot
4830,Patiala
2453,Patna
1200063,Pauri Garhwal
4372,Pen
5597,Perambalur
4834,Phagwara
4374,Phaltan
1200098,Phaphamau
4564,Phek
5024,Phulera
6431,Pilibhit
1200168,Pindra
2996,Pinjore
1200043,Pipali
1200149,Pirojpur
1200131,Pirthla
6658,Pithoragarh
1200100,Polambakkam
4715,Pondicherry
1200081,Pondur
2856,Porbandar
2002,Port Blair
1200204,Prakasam
1202042,Pratapgarh
1200103,Pudipatla
5633,Pudukkottai
1200203,Puliyila
4378,Pune
1200158,Punkunnam
3704,Puranattukara
4684,Puri
2456,Purnia
6978,Puruliya
5032,Pushkar
3507,Puttur
6449,Rae Bareli
1200206,Raghunathganj
1201057,Rai
3509,Raichur
1200023,Raigad
6984,Raiganj
2561,Raigarh
2562,Raipur
4037,Raisen
2145,Rajahmundry
4385,Rajapur
3137,Rajauri
1200059,Rajewadi
3066,Rajgarh
4039,Rajgarh
2859,Rajkot
2564,Rajnandgaon
4840,Rajpura
5037,Rajsamand
1200148,Ramanagara
5653,Ramanathapuram
5655,Rameshwaram
3139,Ramgarh
3067,Rampur Himachal Pradesh
6454,Rampur Uttar Pradesh
3284,Ranchi
1200170,Ranebennur
6992,Raniganj
6662,Ranikhet
1200146,Ratanpur
4047,Ratlam
4390,Ratnagiri
7092,Raulapalem
4689,Raurkela
4692,Rayagada
4052,Rewa
3003,Rewari
6663,Rishikesh
